REV_NUMBER,REV_ALPHABET,CABLE_SIZE,PROCURED_BY,CABLE_TAG,START_EQPT,END_EQPT,LENGTH_SRRL,NO_OF_RUNS,TOTAL_DESIGN_LENGTH,CABLE_ROUTE,TIMESTAMP,LENGTH_VARIANCE
1,A,3X120-e,Unknown,MSBA-4P-009(A-C),415V MSB AFT,415V HCOS PDB4 (N),18.0,3.0,54.0,"20-70-P-D-9-(400x200), 071_L75D-P-08, 071_L75D-P-09, 071_L45D-P-01, 071_L45D-P-02, Local Route, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,36.0
1,A,3X120-e,Unknown,MSBF-4P-008(A-C),415V MSB FWD,415V HCOS PDB4 (A),71.4,3.0,214.2,"20-37-P-D-1-(400x200), 072_L75D-P-11, 072_L45B-P-06, 072_SCH45-P-07B, 072_SCH45-P-07A, 20-33-P-D-1A-(325x250), 095_VL30D-P-01, 095_L75C-P-01, 095_SCH75-P-03, 095_L65C-P-02, 095_L65C-P-01, 095_L30B-P-04, 095_L30B-P-01, 20-53-P-B-1-(400x200), 20-61-P-B-1-(325x250), 20-63-P-G-6-(400x200), 20-65-P-G-6-(400x200), 20-67-P-G-6-(400x200), 20-69-P-G-6-(400x200), 20-71-P-G-6-(400x200), 091_VL75C-P-04, 20-71-P-D-5-(325x250), 071_L45C-P-02, 30-72-P-G-3-(400x200), 30-72-P-G-2-(400x200), 30-72-P-G-1-(400x200), 071_L45C-P-08, 20-70-P-D-9-(400x200), 071_L45D-P-07, 071_L75D-P-08, 071_L75D-P-09, 071_L45D-P-01, 071_L45D-P-02, Local Route, , , , , ",2023-12-14 16:55:08,142.79999999999998
1,A,3X120-e,Unknown,MSBA-4P-009-1(A-C),415V HCOS PDB4,415V PDB4,10.5,3.0,31.5,"071_L20C-P-07, 071_L20C-P-06, 071_SCH20-P-02, 071_SCH20-P-07, 071_L20C-P-05, Local Route, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,21.0
1,A,3X95-e,Unknown,PDB4-4P-01(A-B),415V PDB4,415V PDB4-1,6.0,2.0,12.0,"Local Route, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,6.0
1,A,3X50-e,Unknown,PDB4-4P-02,415V PDB4,LO PURIFIER CONTROL PANEL (712.011.010),45.0,1.0,45.0,"071_L20C-P-03, 071_L20C-P-04, 30-62-P-D-1-(200x250), 063_L45B-P-13, 40-63-P-G-2-(400x200), 40-65-P-G-2-(400x200), 40-69-P-G-2-(400x200), 40-71-P-G-3A-(400x200), 40-71-P-G-1A-(400x200), 40-71-P-G-1-(400x200), 40-71-P-G-2-(400x200), 40-71-P-G-3-(400x200), 40-71-P-G-4-(400x200), 40-69-P-G-1-(400x200), 40-67-P-G-1-(400x200), 40-65-P-G-1-(400x200), Local Route, , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X16-e,Unknown,PDB4-4P-08,415V PDB4,2MW DG(P) STBY SW PUMP STARTER PANEL (721.001.030),31.5,1.0,31.5,"071_L20C-P-03, 071_L20C-P-04, 30-62-P-D-1-(200x250), 40-61-P-G-2-(400x200), 063_L45B-P-12, 063_SCH45-P-29, 063_SCH45-P-05, 063_L45B-P-11, 063_SCH45-P-04, 40-54-P-G-3-(400x200), 30-54-P-D-1-(325x250), 071_L30D-P-03A, Local Route, , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X16-e,Unknown,PDB4-4P-09,415V PDB4,2MW DG(S) STBY SW PUMP STARTER PANEL (721.001.050),31.5,1.0,31.5,"071_L20C-P-03, 071_L20C-P-04, 30-62-P-D-1-(200x250), 40-61-P-G-2-(400x200), 063_L45B-P-12, 063_SCH45-P-29, 063_SCH45-P-05, 063_L45B-P-11, 063_SCH45-P-04, 40-54-P-G-3-(400x200), 30-54-P-D-1-(325x250), 071_L30D-P-03A, Local Route, , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X16-e,Unknown,PDB4-4P-10,415V PDB4,2MW DG(C) STBY SW PUMP STARTER PANEL (721.001.040),31.5,1.0,31.5,"071_L20C-P-03, 071_L20C-P-04, 30-62-P-D-1-(200x250), 40-61-P-G-2-(400x200), 063_L45B-P-12, 063_SCH45-P-29, 063_SCH45-P-05, 063_L45B-P-11, 063_SCH45-P-04, 40-54-P-G-3-(400x200), 30-54-P-D-1-(325x250), 071_L30D-P-03A, Local Route, , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X10-e,Unknown,PDB4-4P-13,415V PDB4,FO PURIFIER CONTROL PANEL (702.014.020),20.0,1.0,20.0,"071_L20C-P-03, 071_L20C-P-04, 30-62-P-D-1-(200x250), 063_L45B-P-13, 40-63-P-G-2-(400x200), 063_045B-P-14, Local Route, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X16-e,Unknown,PDB4-4P-14,415V PDB4,2MW DG(P) JW HEATER CONTROL PANEL,48.0,1.0,48.0,"071_L20C-P-03, 071_L20C-P-04, 30-62-P-D-1-(200x250), 063_L45B-P-13, 40-63-P-G-2-(400x200), 40-65-P-G-2-(400x200), 40-69-P-G-2-(400x200), 40-71-P-G-3A-(400x200), 40-71-P-G-1A-(400x200), 40-71-P-G-1-(400x200), 40-71-P-G-2-(400x200), 40-71-P-G-3-(400x200), 40-71-P-G-4-(400x200), 40-69-P-G-1-(400x200), 40-67-P-G-1-(400x200), 40-65-P-G-1-(400x200), Local Route, , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
